epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.711,1.95047,2.80981,1.7729,0.19932,0.2228,0.13373,0.05199,2.29374,4.48784,2.16284,0.00036857,0.00036857,0.00036857
2,370.951,1.96444,2.41092,1.77716,0.37466,0.21095,0.1619,0.06642,2.29701,6.46762,2.20271,0.000702327,0.000702327,0.000702327
3,555.853,1.94221,2.37617,1.7641,0.446,0.21494,0.1763,0.07388,2.15464,4.11703,1.93585,0.000999422,0.000999422,0.000999422
4,740.406,1.89388,2.27199,1.72539,0.32667,0.28889,0.23583,0.10184,2.05023,2.66694,1.86659,0.000946016,0.000946016,0.000946016
5,924.743,1.8159,2.1149,1.66611,0.43839,0.35728,0.32886,0.14891,1.94417,2.32853,1.78101,0.000891022,0.000891022,0.000891022
6,1109.09,1.7753,2.02472,1.63559,0.44028,0.42145,0.3911,0.18148,1.84259,2.15615,1.68036,0.000836027,0.000836027,0.000836027
7,1293.24,1.73831,1.94291,1.60406,0.458,0.42197,0.39291,0.1913,1.84215,2.06198,1.6738,0.000781033,0.000781033,0.000781033
8,1477.42,1.69988,1.87321,1.57434,0.50079,0.44802,0.43306,0.21467,1.79955,2.03682,1.64456,0.000726038,0.000726038,0.000726038
9,1661.49,1.68156,1.83366,1.56371,0.52465,0.46482,0.46662,0.23117,1.78436,1.91376,1.63555,0.000671044,0.000671044,0.000671044
10,1845.74,1.65374,1.76583,1.53899,0.55566,0.47615,0.49062,0.2534,1.72823,1.80969,1.58924,0.000616049,0.000616049,0.000616049
11,2030.93,1.67327,1.72806,1.59667,0.56251,0.48529,0.49728,0.24861,1.7439,1.79571,1.59975,0.000561055,0.000561055,0.000561055
12,2214.12,1.6491,1.67948,1.58018,0.54693,0.50327,0.50747,0.26134,1.73186,1.7985,1.57911,0.00050606,0.00050606,0.00050606
13,2397.55,1.62515,1.62764,1.561,0.57703,0.50461,0.52409,0.27099,1.72835,1.76207,1.57862,0.000451066,0.000451066,0.000451066
14,2580.94,1.60296,1.58516,1.54464,0.58686,0.50813,0.53033,0.27672,1.7026,1.71185,1.55929,0.000396071,0.000396071,0.000396071
15,2764.23,1.5753,1.53383,1.5222,0.59852,0.52828,0.55565,0.29429,1.67335,1.64474,1.54715,0.000341077,0.000341077,0.000341077
16,2947.59,1.55843,1.49442,1.50941,0.60417,0.53065,0.56492,0.30165,1.64651,1.63491,1.52227,0.000286083,0.000286083,0.000286083
17,3131.06,1.54144,1.45176,1.50214,0.62866,0.5399,0.57892,0.31091,1.64235,1.58903,1.51809,0.000231088,0.000231088,0.000231088
18,3314.18,1.51603,1.4073,1.48102,0.62259,0.56275,0.59475,0.32128,1.63514,1.55849,1.51712,0.000176094,0.000176094,0.000176094
19,3497.29,1.49486,1.35337,1.4646,0.64143,0.55513,0.60093,0.32698,1.62749,1.53478,1.51284,0.000121099,0.000121099,0.000121099
20,3680.66,1.46829,1.3227,1.44641,0.64175,0.5705,0.60719,0.3322,1.62006,1.51661,1.50211,6.61045e-05,6.61045e-05,6.61045e-05
