epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.416,1.90473,2.81776,1.72844,0.46117,0.34905,0.32916,0.15706,1.94192,2.35596,1.68875,0.0033254,0.0033254,0.0033254
2,381.02,1.84511,2.14242,1.61451,0.36773,0.29181,0.24192,0.10505,2.1091,3.16112,1.83856,0.00643899,0.00643899,0.00643899
3,571.373,1.99537,2.41979,1.77098,0.03931,0.12554,0.01597,0.00699,2.93195,12.2283,2.77184,0.00933259,0.00933259,0.00933259
4,761.824,2.0247,2.5195,1.83645,0.28626,0.23009,0.16412,0.07005,2.30259,3.34108,2.08552,0.00901,0.00901,0.00901
5,952.237,1.91784,2.30264,1.75339,0.39765,0.32644,0.27755,0.12677,2.05772,2.88367,1.85369,0.00868,0.00868,0.00868
6,1142.69,1.8557,2.1687,1.70414,0.45497,0.34946,0.32595,0.15078,1.94956,2.35321,1.76088,0.00835,0.00835,0.00835
7,1333.24,1.81196,2.08255,1.67121,0.484,0.40614,0.38782,0.18427,1.86863,2.16055,1.71977,0.00802,0.00802,0.00802
8,1524.02,1.76959,2.0002,1.64165,0.49318,0.4463,0.4256,0.20812,1.83701,2.0292,1.66726,0.00769,0.00769,0.00769
9,1714.71,1.74773,1.93345,1.62205,0.51501,0.40973,0.40002,0.19783,1.83824,2.13701,1.66931,0.00736,0.00736,0.00736
10,1904.84,1.72108,1.88702,1.59451,0.53685,0.45321,0.46532,0.23302,1.76243,1.91121,1.62421,0.00703,0.00703,0.00703
11,2095.59,1.6964,1.83762,1.58386,0.54507,0.47909,0.4799,0.24578,1.74615,1.8586,1.63564,0.0067,0.0067,0.0067
12,2286.33,1.68135,1.79885,1.56957,0.54328,0.47654,0.48546,0.24476,1.74905,1.88959,1.61664,0.00637,0.00637,0.00637
13,2476.35,1.65953,1.76034,1.55465,0.55164,0.4929,0.50945,0.26699,1.69634,1.77282,1.58264,0.00604,0.00604,0.00604
14,2667.12,1.64537,1.73849,1.54972,0.57895,0.50102,0.52571,0.27687,1.68638,1.75264,1.56948,0.00571,0.00571,0.00571
15,2857.79,1.63276,1.70501,1.53362,0.59398,0.51699,0.54725,0.28862,1.66923,1.70581,1.55623,0.00538,0.00538,0.00538
16,3048.69,1.61546,1.6681,1.51587,0.58063,0.521,0.53832,0.28298,1.67068,1.68224,1.5443,0.00505,0.00505,0.00505
17,3238.43,1.60418,1.64674,1.50425,0.60274,0.53527,0.5614,0.29895,1.65295,1.65897,1.52956,0.00472,0.00472,0.00472
18,3429.03,1.58791,1.6193,1.49408,0.60468,0.55051,0.57351,0.30584,1.62785,1.62294,1.51456,0.00439,0.00439,0.00439
19,3619.46,1.57255,1.59053,1.48254,0.62718,0.53779,0.58313,0.3147,1.6224,1.58074,1.51416,0.00406,0.00406,0.00406
20,3809.88,1.55799,1.55485,1.47157,0.61743,0.55861,0.58737,0.31844,1.61752,1.56291,1.50795,0.00373,0.00373,0.00373
21,4002.11,1.57645,1.5096,1.52221,0.63731,0.55319,0.59613,0.32485,1.60067,1.55264,1.49661,0.0034,0.0034,0.0034
22,4192.57,1.55373,1.45771,1.50666,0.63154,0.56228,0.60251,0.32971,1.6051,1.53624,1.50291,0.00307,0.00307,0.00307
23,4382.45,1.53858,1.43245,1.49641,0.64452,0.56025,0.6048,0.33148,1.59564,1.52621,1.4982,0.00274,0.00274,0.00274
24,4572.36,1.51546,1.39807,1.48485,0.6504,0.56672,0.61344,0.33816,1.5865,1.50356,1.49219,0.00241,0.00241,0.00241
25,4762.09,1.49635,1.35856,1.46809,0.6536,0.56941,0.61515,0.34089,1.5853,1.49691,1.48849,0.00208,0.00208,0.00208
26,4952,1.47848,1.32652,1.45403,0.65848,0.57214,0.6207,0.342,1.59361,1.48033,1.48999,0.00175,0.00175,0.00175
27,5142.1,1.46126,1.29244,1.44106,0.65162,0.5746,0.62033,0.34387,1.59598,1.47353,1.49132,0.00142,0.00142,0.00142
28,5332.2,1.44106,1.25709,1.4335,0.65156,0.57894,0.62307,0.34496,1.59856,1.47404,1.49447,0.00109,0.00109,0.00109
29,5521.84,1.4206,1.22493,1.41447,0.66652,0.5706,0.62399,0.34553,1.59834,1.46808,1.49373,0.00076,0.00076,0.00076
30,5711.85,1.40548,1.19613,1.40625,0.67175,0.56669,0.62547,0.34574,1.60194,1.4702,1.49601,0.00043,0.00043,0.00043
