epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.428,2.0867,3.00183,1.92264,0.25934,0.23341,0.14344,0.05756,2.33963,4.00451,2.16915,0.000369452,0.000369452,0.000369452
2,383.532,2.13505,2.66873,1.98096,0.19297,0.17939,0.10622,0.04125,2.4139,3.91252,2.23349,0.000666546,0.000666546,0.000666546
3,574.248,2.07424,2.5628,1.93235,0.22708,0.25862,0.14301,0.05703,2.30893,3.78212,2.13627,0.000890315,0.000890315,0.000890315
4,765.174,1.98479,2.39543,1.85847,0.37371,0.31244,0.27257,0.12156,2.01686,2.579,1.8261,0.000781033,0.000781033,0.000781033
5,955.901,1.88989,2.20496,1.78003,0.44484,0.37753,0.3519,0.16589,1.89043,2.2299,1.74237,0.000671044,0.000671044,0.000671044
6,1146.46,1.81918,2.06931,1.72071,0.46782,0.41176,0.38592,0.18436,1.87387,2.09817,1.70812,0.000561055,0.000561055,0.000561055
7,1336.72,1.76871,1.95644,1.67637,0.50668,0.44057,0.4351,0.2117,1.80836,2.00652,1.6593,0.000451066,0.000451066,0.000451066
8,1526.81,1.72098,1.85733,1.64479,0.5334,0.45434,0.46809,0.23418,1.7676,1.90779,1.63015,0.000341077,0.000341077,0.000341077
9,1717.11,1.67537,1.75768,1.61001,0.55981,0.49307,0.50369,0.2589,1.73029,1.81422,1.59371,0.000231088,0.000231088,0.000231088
10,1907.26,1.63097,1.67094,1.57368,0.56876,0.51478,0.53231,0.28001,1.69131,1.73604,1.57369,0.000121099,0.000121099,0.000121099
