epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.76573,1.1604,4.77126,1.25819,0.10915,0.07446,0.02441,0.01858,0.95174,3.60881,1.0556,5e-05,5e-05,5e-05
2,15.17,1.08344,3.53587,1.16048,0.35614,0.11165,0.0622,0.04358,1.10309,3.47684,1.10858,0.000101535,0.000101535,0.000101535
3,23.0321,1.03215,2.86462,1.10734,0.29349,0.12585,0.06195,0.04339,1.2794,3.3008,1.19371,0.00014944,0.00014944,0.00014944
4,29.7989,1.05181,2.44035,1.10675,0.31378,0.19676,0.09016,0.06391,1.14954,3.22226,1.14579,0.000193715,0.000193715,0.000193715
5,37.7679,1.0374,2.25063,1.12302,0.21192,0.15026,0.06023,0.04383,1.22109,4.05818,1.22875,0.00023436,0.00023436,0.00023436
6,44.5127,0.99276,2.05073,1.11038,0.16027,0.21281,0.0684,0.04825,1.27661,3.72055,1.27139,0.000271375,0.000271375,0.000271375
7,51.2695,1.10145,2.09695,1.13983,0.46568,0.12361,0.09063,0.06473,1.34779,4.63816,1.35304,0.00030476,0.00030476,0.00030476
8,59.1189,1.04468,1.99335,1.12339,0.3521,0.12013,0.08456,0.06231,1.47538,4.40351,1.43754,0.000334515,0.000334515,0.000334515
9,65.8386,1.05951,1.89536,1.12116,0.3323,0.15777,0.06084,0.03944,1.41152,4.08281,1.45232,0.00036064,0.00036064,0.00036064
10,72.6101,1.09465,1.87088,1.13564,0.26273,0.0871,0.04855,0.03207,1.39207,4.25545,1.35728,0.0003515,0.0003515,0.0003515
11,79.3334,1.07416,1.83666,1.12966,0.35043,0.08116,0.04508,0.03002,1.51111,4.4079,1.54051,0.000335,0.000335,0.000335
12,86.024,1.03439,1.72303,1.1069,0.3539,0.09592,0.07309,0.04884,1.45601,3.35697,1.42144,0.0003185,0.0003185,0.0003185
13,92.7084,1.02311,1.57899,1.09353,0.19553,0.16063,0.08145,0.05269,1.41836,3.0766,1.40747,0.000302,0.000302,0.000302
14,99.3779,0.98021,1.48323,1.06963,0.16849,0.16896,0.07618,0.05169,1.31707,3.32742,1.33185,0.0002855,0.0002855,0.0002855
15,106.061,0.95816,1.44101,1.06084,0.10161,0.18822,0.10167,0.07647,1.27891,3.32314,1.27652,0.000269,0.000269,0.000269
16,113.854,0.94666,1.33321,1.04916,0.43967,0.14519,0.12597,0.09731,1.18146,3.15416,1.2379,0.0002525,0.0002525,0.0002525
17,121.636,0.89604,1.24409,1.0421,0.28698,0.11336,0.07791,0.05788,1.22771,3.26399,1.26747,0.000236,0.000236,0.000236
18,128.334,0.88164,1.17797,1.02392,0.09284,0.17875,0.08533,0.06046,1.22061,3.00756,1.25197,0.0002195,0.0002195,0.0002195
19,134.986,0.87711,1.12315,1.02587,0.17846,0.20041,0.10093,0.07496,1.16868,2.85008,1.20901,0.000203,0.000203,0.000203
20,141.715,0.85808,1.05153,1.0102,0.1895,0.13658,0.11486,0.08609,1.12857,2.52497,1.20593,0.0001865,0.0001865,0.0001865
21,152.263,0.79776,1.03234,0.97119,0.32328,0.19057,0.13902,0.10921,1.1004,2.51959,1.1564,0.00017,0.00017,0.00017
22,162.076,0.77779,0.99332,0.9528,0.36294,0.16142,0.11704,0.0902,1.07898,2.7119,1.16367,0.0001535,0.0001535,0.0001535
23,168.785,0.76051,0.91634,0.94455,0.22956,0.17366,0.15434,0.11641,1.10292,2.5045,1.15856,0.000137,0.000137,0.000137
24,176.57,0.71784,0.83262,0.93639,0.23123,0.21357,0.1712,0.13238,1.10171,2.57281,1.18096,0.0001205,0.0001205,0.0001205
25,184.388,0.7006,0.73502,0.91113,0.22883,0.214,0.17807,0.1357,1.09515,2.36131,1.18204,0.000104,0.000104,0.000104
26,192.177,0.66482,0.70022,0.89958,0.23876,0.20271,0.17613,0.14108,1.09353,2.41495,1.17762,8.75e-05,8.75e-05,8.75e-05
27,200.027,0.67335,0.67071,0.8911,0.24045,0.21694,0.20029,0.16209,1.06169,2.36446,1.16888,7.1e-05,7.1e-05,7.1e-05
28,207.786,0.63543,0.6052,0.88912,0.2725,0.20568,0.18921,0.15181,1.05926,2.34388,1.16805,5.45e-05,5.45e-05,5.45e-05
29,214.468,0.62969,0.5848,0.88793,0.26666,0.2188,0.1906,0.15196,1.05443,2.39062,1.15658,3.8e-05,3.8e-05,3.8e-05
30,221.152,0.62087,0.55426,0.87147,0.24201,0.2372,0.19034,0.14849,1.08129,2.35015,1.17777,2.15e-05,2.15e-05,2.15e-05
