epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2478,1.38822,3.9259,1.361,0.3663,0.11252,0.06222,0.03647,1.46464,3.75573,1.30378,0.00015,0.00015,0.00015
2,32.933,1.37184,2.53488,1.28326,0.21942,0.17449,0.07072,0.04238,1.61425,3.48482,1.44561,0.000294935,0.000294935,0.000294935
3,49.1005,1.39657,2.26777,1.30611,0.12155,0.08962,0.03344,0.01973,1.91311,6.79583,1.75128,0.00042964,0.00042964,0.00042964
4,65.3177,1.41041,2.25314,1.3339,0.31828,0.07798,0.03188,0.01774,1.96938,8.40849,2.00108,0.0004505,0.0004505,0.0004505
5,80.8421,1.39673,2.05843,1.30795,0.13254,0.0741,0.04454,0.02648,1.61561,7.73456,1.65668,0.000434,0.000434,0.000434
6,96.1492,1.31385,1.8374,1.27742,0.27206,0.09252,0.06089,0.03509,1.6757,3.71337,1.54945,0.0004175,0.0004175,0.0004175
7,113.345,1.23248,1.6562,1.22575,0.09898,0.15386,0.07572,0.04393,1.82379,3.42122,1.59399,0.000401,0.000401,0.000401
8,128.808,1.21607,1.5479,1.21048,0.18388,0.10193,0.06532,0.04193,1.54818,3.54473,1.44368,0.0003845,0.0003845,0.0003845
9,144.103,1.13429,1.37533,1.16657,0.17255,0.14382,0.11285,0.07383,1.50556,2.81963,1.41144,0.000368,0.000368,0.000368
10,159.5,1.12019,1.29927,1.15608,0.15116,0.14238,0.094,0.05994,1.50593,2.95733,1.37872,0.0003515,0.0003515,0.0003515
11,175.019,1.08791,1.22087,1.13028,0.24108,0.12557,0.09484,0.06409,1.49432,3.02394,1.39364,0.000335,0.000335,0.000335
12,192.286,1.049,1.09482,1.12092,0.21753,0.12467,0.10144,0.06773,1.44951,2.90253,1.34538,0.0003185,0.0003185,0.0003185
13,207.664,1.03594,1.0175,1.10667,0.19839,0.15039,0.12505,0.0859,1.42413,2.82482,1.34303,0.000302,0.000302,0.000302
14,223.037,0.98849,0.93014,1.0841,0.20427,0.1414,0.11842,0.08337,1.42677,2.87944,1.34287,0.0002855,0.0002855,0.0002855
15,238.182,0.95781,0.88053,1.07061,0.19715,0.19439,0.14278,0.09664,1.40529,2.78742,1.35794,0.000269,0.000269,0.000269
16,253.513,0.92626,0.8176,1.05109,0.17888,0.19067,0.11749,0.08215,1.41494,2.98582,1.3526,0.0002525,0.0002525,0.0002525
17,268.724,0.9152,0.79213,1.04275,0.32335,0.20645,0.15769,0.11223,1.38177,2.76552,1.28934,0.000236,0.000236,0.000236
18,284.067,0.87677,0.73666,1.02616,0.211,0.19935,0.13496,0.09767,1.36532,2.8946,1.31089,0.0002195,0.0002195,0.0002195
19,299.23,0.86584,0.71727,1.01718,0.23791,0.18303,0.15468,0.11424,1.36732,2.78313,1.29971,0.000203,0.000203,0.000203
20,316.064,0.84741,0.67322,1.00936,0.19859,0.20319,0.1319,0.09483,1.38507,2.85268,1.32588,0.0001865,0.0001865,0.0001865
21,337.649,0.77877,0.606,0.96046,0.18271,0.1698,0.13241,0.09694,1.33182,2.78115,1.30652,0.00017,0.00017,0.00017
22,354.712,0.749,0.56491,0.94679,0.20483,0.19516,0.14319,0.10502,1.34762,2.84302,1.31548,0.0001535,0.0001535,0.0001535
23,371.166,0.72698,0.52085,0.93013,0.21237,0.21051,0.16106,0.12061,1.33627,2.85693,1.30106,0.000137,0.000137,0.000137
24,386.518,0.7034,0.49111,0.91847,0.21969,0.19584,0.15962,0.11536,1.34413,2.79297,1.30308,0.0001205,0.0001205,0.0001205
25,401.895,0.68471,0.47346,0.9091,0.20202,0.20022,0.14877,0.10806,1.34021,2.93146,1.30161,0.000104,0.000104,0.000104
26,417.21,0.66376,0.44433,0.90251,0.19361,0.17974,0.1351,0.0976,1.3421,2.98529,1.30122,8.75e-05,8.75e-05,8.75e-05
27,432.567,0.63817,0.42288,0.89412,0.21011,0.21119,0.15167,0.11187,1.3484,3.00482,1.29722,7.1e-05,7.1e-05,7.1e-05
28,447.876,0.61039,0.4016,0.87786,0.22601,0.19028,0.16216,0.11873,1.32935,2.91031,1.29598,5.45e-05,5.45e-05,5.45e-05
29,463.072,0.59346,0.38756,0.8758,0.18526,0.2135,0.15981,0.11664,1.32566,2.9864,1.29708,3.8e-05,3.8e-05,3.8e-05
30,478.322,0.5827,0.3793,0.86789,0.24682,0.18019,0.16147,0.11629,1.33295,2.92891,1.30847,2.15e-05,2.15e-05,2.15e-05
