epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3243,1.12267,5.37949,1.22266,0.05488,0.04225,0.01964,0.01538,1.0001,4.03812,1.05817,5e-05,5e-05,5e-05
2,18.8709,1.01569,4.1161,1.10877,0.22636,0.1365,0.05423,0.03979,1.05014,3.29454,1.01637,9.4605e-05,9.4605e-05,9.4605e-05
3,27.1142,0.96426,3.12447,1.04503,0.16716,0.14399,0.07868,0.05984,0.9847,2.73972,0.99384,0.00012832,0.00012832,0.00012832
4,34.8899,0.93496,2.72502,1.02957,0.25589,0.18568,0.10002,0.07662,1.06909,2.57327,1.05664,0.000151145,0.000151145,0.000151145
5,42.6587,0.93817,2.40823,1.02948,0.17435,0.17698,0.09787,0.07494,1.16459,2.60069,1.10769,0.00016308,0.00016308,0.00016308
6,49.3201,0.93282,2.20732,1.02269,0.36343,0.13809,0.11167,0.08441,1.11374,2.53998,1.11456,0.000164125,0.000164125,0.000164125
7,57.0776,0.87031,1.92074,0.99904,0.20005,0.20136,0.11162,0.08574,1.09068,2.49008,1.09486,0.00015428,0.00015428,0.00015428
8,64.8363,0.87358,1.82173,0.9905,0.25945,0.20934,0.11506,0.09141,1.08444,2.62223,1.10716,0.000133545,0.000133545,0.000133545
9,72.5711,0.80329,1.57766,0.95113,0.2372,0.22279,0.1435,0.11127,1.06799,2.31846,1.08039,0.00010192,0.00010192,0.00010192
10,80.5695,0.76094,1.41132,0.93991,0.31865,0.16676,0.15741,0.12476,0.9709,2.17828,1.04618,5.45e-05,5.45e-05,5.45e-05
