epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9099,1.19693,6.20365,1.24873,0.0075,0.30106,0.01947,0.017,0.8933,4.49859,1.0214,1.56e-05,1.56e-05,1.56e-05
2,16.9959,0.99351,5.32486,1.11597,0.21812,0.07102,0.03741,0.03142,0.87897,3.76712,0.98569,2.95168e-05,2.95168e-05,2.95168e-05
3,23.0074,0.91326,4.23829,1.04381,0.42836,0.10674,0.06028,0.04995,0.90317,3.19511,0.99914,4.00358e-05,4.00358e-05,4.00358e-05
4,29.07,0.86306,3.59112,1.01303,0.51175,0.09747,0.0867,0.07316,0.96044,3.0347,1.02805,4.71572e-05,4.71572e-05,4.71572e-05
5,35.0875,0.88842,3.17203,1.01506,0.61733,0.11005,0.12346,0.10776,0.9403,2.78675,1.01787,5.0881e-05,5.0881e-05,5.0881e-05
6,41.3723,0.85179,2.80882,0.98827,0.5621,0.12826,0.15982,0.14023,0.91297,2.75622,1.00364,5.1207e-05,5.1207e-05,5.1207e-05
7,47.3551,0.80062,2.52139,0.97027,0.47622,0.13825,0.14503,0.11919,0.93227,2.63705,1.00399,4.81354e-05,4.81354e-05,4.81354e-05
8,53.1609,0.79105,2.31062,0.95276,0.53095,0.14178,0.1402,0.12156,0.91379,2.57673,0.99906,4.1666e-05,4.1666e-05,4.1666e-05
9,58.9699,0.76489,2.12942,0.9616,0.30555,0.17318,0.15708,0.13495,0.93049,2.53821,0.99796,3.1799e-05,3.1799e-05,3.1799e-05
10,64.7825,0.75185,1.88247,0.94561,0.43516,0.1656,0.16882,0.14568,0.91241,2.49155,0.98816,1.7004e-05,1.7004e-05,1.7004e-05
