epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.217,1.94902,2.79514,1.75459,0.35437,0.25265,0.19912,0.08266,2.13596,4.66354,1.98167,0.00036857,0.00036857,0.00036857
2,365.967,1.9575,2.40629,1.76267,0.21391,0.13888,0.0738,0.0291,2.55948,5.52463,2.29094,0.000702327,0.000702327,0.000702327
3,551.293,1.94909,2.37799,1.75366,0.15766,0.24602,0.1182,0.04454,2.23916,6.70742,2.04212,0.000999422,0.000999422,0.000999422
4,734.997,1.88894,2.25843,1.71563,0.3974,0.33976,0.28929,0.1277,1.98929,3.39441,1.81677,0.000946016,0.000946016,0.000946016
5,918.837,1.82707,2.1366,1.67025,0.36349,0.36444,0.2952,0.13252,1.92906,2.53653,1.75286,0.000891022,0.000891022,0.000891022
6,1102.2,1.77753,2.02252,1.63429,0.47013,0.42588,0.39721,0.19053,1.83697,2.121,1.68927,0.000836027,0.000836027,0.000836027
7,1285.15,1.74372,1.95513,1.61131,0.50118,0.4069,0.41127,0.20084,1.84136,2.03108,1.67186,0.000781033,0.000781033,0.000781033
8,1468.24,1.70959,1.87727,1.57792,0.47732,0.42759,0.41516,0.20129,1.83023,2.07746,1.65419,0.000726038,0.000726038,0.000726038
9,1651.34,1.67972,1.83088,1.5561,0.52267,0.45734,0.4608,0.23102,1.7693,1.86728,1.59816,0.000671044,0.000671044,0.000671044
10,1833.76,1.66039,1.78551,1.54226,0.53949,0.47456,0.48097,0.24808,1.73209,1.89607,1.585,0.000616049,0.000616049,0.000616049
11,2017.17,1.67712,1.72675,1.59599,0.56537,0.48639,0.49633,0.25237,1.74459,1.87787,1.59426,0.000561055,0.000561055,0.000561055
12,2199.04,1.65513,1.67803,1.57989,0.55724,0.50228,0.51361,0.26823,1.71032,1.77437,1.57065,0.00050606,0.00050606,0.00050606
13,2381.02,1.6264,1.62653,1.55758,0.57741,0.51096,0.53324,0.27641,1.69703,1.73021,1.5624,0.000451066,0.000451066,0.000451066
14,2562.95,1.60629,1.58514,1.54154,0.58178,0.508,0.52942,0.27475,1.70238,1.70757,1.54839,0.000396071,0.000396071,0.000396071
15,2744.31,1.58,1.53025,1.52355,0.61004,0.51565,0.55306,0.29501,1.66826,1.66616,1.54209,0.000341077,0.000341077,0.000341077
16,2925.76,1.56117,1.48636,1.50955,0.6088,0.54378,0.57245,0.30579,1.66412,1.64706,1.52545,0.000286083,0.000286083,0.000286083
17,3107.08,1.5387,1.43917,1.49064,0.61284,0.54797,0.58269,0.31162,1.6501,1.59058,1.51161,0.000231088,0.000231088,0.000231088
18,3288.56,1.51447,1.39817,1.47309,0.63705,0.55457,0.59629,0.32388,1.63251,1.56945,1.50407,0.000176094,0.000176094,0.000176094
19,3470.21,1.49484,1.35119,1.45894,0.64398,0.55664,0.60106,0.32705,1.63155,1.54009,1.50703,0.000121099,0.000121099,0.000121099
20,3651.43,1.46843,1.32168,1.44219,0.64238,0.5671,0.61122,0.3333,1.62266,1.50563,1.49826,6.61045e-05,6.61045e-05,6.61045e-05
