epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0313,1.19197,5.36514,1.2553,0.06259,0.05082,0.03346,0.02529,0.92066,3.69486,1.02117,5e-05,5e-05,5e-05
2,17.994,0.99515,3.93854,1.09787,0.20442,0.11721,0.0548,0.03963,1.06085,3.01235,1.04112,9.4605e-05,9.4605e-05,9.4605e-05
3,25.8806,0.95115,3.061,1.04753,0.23072,0.14948,0.08255,0.06273,1.09327,2.94228,1.08215,0.00012832,0.00012832,0.00012832
4,33.6754,0.95241,2.70314,1.04542,0.40068,0.1781,0.10007,0.07909,1.08158,2.80342,1.09443,0.000151145,0.000151145,0.000151145
5,41.4922,0.9741,2.39925,1.05962,0.24068,0.17244,0.09877,0.0739,1.11308,2.84259,1.09403,0.00016308,0.00016308,0.00016308
6,48.1127,0.96578,2.21752,1.04078,0.25036,0.14048,0.08807,0.06296,1.15935,2.731,1.18544,0.000164125,0.000164125,0.000164125
7,54.7295,0.90674,2.03977,1.01961,0.41805,0.15607,0.09726,0.0716,1.145,2.61289,1.17063,0.00015428,0.00015428,0.00015428
8,61.3877,0.89437,1.92246,1.00871,0.42138,0.13703,0.09882,0.07357,1.15403,2.70947,1.17934,0.000133545,0.000133545,0.000133545
9,68.0831,0.83756,1.68426,0.98508,0.22249,0.23546,0.13054,0.09966,1.04441,2.45541,1.10346,0.00010192,0.00010192,0.00010192
10,75.8491,0.80584,1.47858,0.96974,0.50289,0.17208,0.14093,0.1122,1.00817,2.37211,1.08962,5.45e-05,5.45e-05,5.45e-05
