epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4521,1.86967,5.22328,1.81651,0.2506,0.07409,0.0266,0.02192,0.97381,4.80652,1.12182,3.12e-05,3.12e-05,3.12e-05
2,21.3868,1.81344,4.18367,1.72668,0.26003,0.16058,0.0577,0.04816,1.02444,3.6682,1.13625,6.26936e-05,6.26936e-05,6.26936e-05
3,31.9917,1.72534,3.57078,1.63202,0.18073,0.18417,0.07975,0.06322,1.04394,3.68995,1.13082,9.28899e-05,9.28899e-05,9.28899e-05
4,42.5586,1.79568,3.33961,1.6789,0.24351,0.14511,0.09196,0.0678,1.16152,3.75267,1.21961,0.000121789,0.000121789,0.000121789
5,53.0165,1.71737,3.12305,1.6284,0.18423,0.12375,0.0783,0.05665,1.16633,3.33292,1.24525,0.000143645,0.000143645,0.000143645
6,63.3341,1.67478,2.95438,1.59645,0.31133,0.15385,0.07994,0.06262,1.13604,4.10068,1.22203,0.000140556,0.000140556,0.000140556
7,73.5573,1.65686,2.85371,1.58673,0.20547,0.1593,0.09478,0.07419,1.07993,3.75005,1.1811,0.000137467,0.000137467,0.000137467
8,84.0995,1.61777,2.70682,1.58509,0.32887,0.1128,0.10227,0.08051,1.10917,3.35919,1.22174,0.000134378,0.000134378,0.000134378
9,94.5829,1.58536,2.56043,1.56552,0.19358,0.15576,0.11501,0.08591,1.08413,3.2699,1.18506,0.00013129,0.00013129,0.00013129
10,105.152,1.61867,2.55496,1.57818,0.18906,0.2025,0.12484,0.09547,1.09244,3.0673,1.2224,0.000128201,0.000128201,0.000128201
11,115.592,1.62466,2.47965,1.57279,0.21414,0.20726,0.13027,0.10449,1.0889,3.12439,1.18663,0.000125112,0.000125112,0.000125112
12,126.016,1.5409,2.33756,1.52209,0.25012,0.12478,0.11107,0.08759,1.07578,3.23143,1.18297,0.000122023,0.000122023,0.000122023
13,136.245,1.51896,2.25567,1.50148,0.32753,0.14985,0.13224,0.10773,1.06294,2.96232,1.20182,0.000118934,0.000118934,0.000118934
14,146.762,1.54132,2.20514,1.5257,0.27683,0.15057,0.10574,0.08533,1.04106,3.19173,1.16355,0.000115846,0.000115846,0.000115846
15,156.992,1.48694,2.09363,1.47469,0.39648,0.13161,0.13123,0.1048,1.05599,2.9969,1.17948,0.000112757,0.000112757,0.000112757
16,167.223,1.48452,2.05802,1.48414,0.39867,0.10178,0.10778,0.08499,1.08226,3.46389,1.19636,0.000109668,0.000109668,0.000109668
17,177.445,1.42448,1.95653,1.45785,0.19861,0.16379,0.13998,0.10988,1.03336,3.18556,1.16288,0.000106579,0.000106579,0.000106579
18,187.852,1.41003,1.92258,1.45317,0.24634,0.1154,0.09742,0.07584,1.0125,3.35561,1.14496,0.00010349,0.00010349,0.00010349
19,198.079,1.45569,1.9043,1.46615,0.29917,0.15196,0.12536,0.1022,1.02701,3.22834,1.13576,0.000100402,0.000100402,0.000100402
20,208.28,1.4028,1.81248,1.44065,0.25688,0.17362,0.13903,0.11268,1.01921,3.23552,1.1433,9.73128e-05,9.73128e-05,9.73128e-05
21,218.675,1.40096,1.78131,1.42297,0.22579,0.12727,0.12177,0.09639,1.05634,3.3328,1.16877,9.4224e-05,9.4224e-05,9.4224e-05
22,228.871,1.35625,1.70975,1.39416,0.37205,0.11065,0.13691,0.10965,1.03249,3.21423,1.13972,9.11352e-05,9.11352e-05,9.11352e-05
23,239.093,1.40337,1.75734,1.44812,0.29515,0.13175,0.11906,0.09735,1.00417,3.26386,1.12205,8.80464e-05,8.80464e-05,8.80464e-05
24,249.347,1.32976,1.6238,1.38382,0.27238,0.12719,0.12534,0.10532,0.98827,3.42268,1.11753,8.49576e-05,8.49576e-05,8.49576e-05
25,259.557,1.35205,1.6338,1.39558,0.19356,0.16082,0.12207,0.10356,1.02522,3.40323,1.13218,8.18688e-05,8.18688e-05,8.18688e-05
26,269.774,1.34331,1.60801,1.39296,0.29182,0.15442,0.13206,0.10854,0.98861,3.22918,1.11229,7.878e-05,7.878e-05,7.878e-05
27,280.031,1.28898,1.50252,1.34688,0.30142,0.13492,0.11805,0.09692,1.03412,3.50343,1.15918,7.56912e-05,7.56912e-05,7.56912e-05
28,290.34,1.33951,1.57431,1.41356,0.16168,0.14895,0.11253,0.08842,1.03076,3.47569,1.15862,7.26024e-05,7.26024e-05,7.26024e-05
29,300.532,1.30505,1.51186,1.38033,0.34032,0.11557,0.11894,0.09473,1.02482,3.39276,1.15672,6.95136e-05,6.95136e-05,6.95136e-05
30,310.762,1.27027,1.44816,1.34733,0.25279,0.15812,0.12888,0.09981,0.9975,3.43364,1.13941,6.64248e-05,6.64248e-05,6.64248e-05
31,321.066,1.26684,1.41108,1.35111,0.17673,0.16133,0.1137,0.08884,1.03216,3.43088,1.16432,6.3336e-05,6.3336e-05,6.3336e-05
32,331.272,1.23424,1.38754,1.33042,0.1911,0.14844,0.10378,0.08367,1.0675,3.5295,1.18675,6.02472e-05,6.02472e-05,6.02472e-05
33,341.485,1.20331,1.33434,1.30659,0.32031,0.09723,0.09261,0.07484,1.02748,3.62945,1.15145,5.71584e-05,5.71584e-05,5.71584e-05
34,351.703,1.21664,1.32762,1.31696,0.18021,0.12793,0.0997,0.07879,1.08511,3.7291,1.15747,5.40696e-05,5.40696e-05,5.40696e-05
35,361.886,1.16463,1.2674,1.28154,0.21416,0.15628,0.11794,0.09017,1.06857,3.55458,1.16991,5.09808e-05,5.09808e-05,5.09808e-05
36,372.126,1.23967,1.34147,1.32782,0.28012,0.14974,0.12746,0.09447,1.0691,3.46808,1.17129,4.7892e-05,4.7892e-05,4.7892e-05
37,382.334,1.18751,1.24688,1.29606,0.29237,0.14722,0.12141,0.0933,1.03006,3.59619,1.15558,4.48032e-05,4.48032e-05,4.48032e-05
38,392.569,1.2045,1.26237,1.30327,0.21073,0.15098,0.11672,0.09459,0.9813,3.54178,1.12878,4.17144e-05,4.17144e-05,4.17144e-05
39,402.794,1.15138,1.19978,1.27447,0.21171,0.15555,0.11503,0.09337,0.98189,3.57014,1.12717,3.86256e-05,3.86256e-05,3.86256e-05
40,413.009,1.13027,1.19132,1.27751,0.26251,0.15237,0.11684,0.09401,0.99157,3.58846,1.13235,3.55368e-05,3.55368e-05,3.55368e-05
41,426.173,1.14111,1.19769,1.31672,0.24769,0.15461,0.12268,0.09733,0.99245,3.55271,1.13815,3.2448e-05,3.2448e-05,3.2448e-05
42,436.401,1.12802,1.13862,1.30679,0.1814,0.17229,0.11547,0.09327,1.0222,3.55829,1.15477,2.93592e-05,2.93592e-05,2.93592e-05
43,446.564,1.0865,1.09616,1.28771,0.19622,0.16849,0.12248,0.09415,1.01053,3.5278,1.14328,2.62704e-05,2.62704e-05,2.62704e-05
44,456.704,1.07683,1.06561,1.26599,0.30644,0.14395,0.12599,0.09825,1.02026,3.65344,1.15301,2.31816e-05,2.31816e-05,2.31816e-05
45,466.861,1.05475,1.03893,1.26192,0.26211,0.14537,0.1237,0.09808,1.02738,3.62587,1.1467,2.00928e-05,2.00928e-05,2.00928e-05
46,477.024,1.06873,1.04784,1.27924,0.26581,0.13699,0.12223,0.09521,1.01845,3.61961,1.13912,1.7004e-05,1.7004e-05,1.7004e-05
47,487.244,1.04074,1.01104,1.24883,0.31271,0.13446,0.12383,0.09707,1.01911,3.67333,1.13614,1.39152e-05,1.39152e-05,1.39152e-05
48,497.42,1.02424,0.99078,1.22775,0.26902,0.13749,0.12205,0.09357,1.01545,3.64957,1.13896,1.08264e-05,1.08264e-05,1.08264e-05
49,507.58,1.04192,1.00693,1.25644,0.30736,0.13218,0.12247,0.09476,1.01732,3.66687,1.13868,7.7376e-06,7.7376e-06,7.7376e-06
50,517.734,1.02276,0.98282,1.24323,0.33204,0.12988,0.12368,0.09494,1.02186,3.65711,1.1388,4.6488e-06,4.6488e-06,4.6488e-06
